Year,001,002,003,004,005,006,011,012,021,022,023,024,025
1951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.035,0.000,0.000,0.928
1952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.680,0.056,0.000,0.035,0.229
1953,0.000,0.000,0.012,0.014,0.000,0.000,0.000,0.000,0.026,0.030,0.000,0.026,0.893
1954,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.018,0.000,0.160,0.507
1955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.963,0.000,0.000,0.000,0.037
1956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.990
1957,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.995,0.003,0.000,0.000,0.000
1958,0.000,0.000,0.154,0.000,0.006,0.000,0.000,0.000,0.680,0.015,0.000,0.000,0.146
1959,0.011,0.019,0.115,0.000,0.028,0.058,0.000,0.000,0.045,0.011,0.000,0.117,0.596
1960,0.001,0.048,0.136,0.000,0.004,0.261,0.000,0.000,0.292,0.013,0.000,0.015,0.230
1961,0.006,0.013,0.027,0.000,0.007,0.112,0.000,0.000,0.305,0.093,0.000,0.000,0.437
1962,0.004,0.110,0.103,0.000,0.008,0.072,0.000,0.000,0.159,0.022,0.000,0.005,0.517
1963,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.005,0.000,0.001,0.822
1964,0.001,0.054,0.100,0.013,0.006,0.164,0.000,0.000,0.461,0.084,0.000,0.000,0.116
1965,0.000,0.000,0.116,0.026,0.099,0.093,0.000,0.000,0.516,0.000,0.000,0.149,0.000
1966,0.000,0.005,0.002,0.000,0.001,0.000,0.000,0.000,0.914,0.033,0.000,0.013,0.032
1967,0.006,0.206,0.000,0.000,0.054,0.005,0.000,0.000,0.628,0.014,0.060,0.027,0.000
1968,0.000,0.001,0.047,0.000,0.015,0.016,0.169,0.000,0.566,0.052,0.000,0.000,0.135
1969,0.000,0.019,0.069,0.000,0.105,0.000,0.000,0.000,0.577,0.128,0.000,0.000,0.101
1970,0.000,0.022,0.029,0.000,0.039,0.025,0.000,0.000,0.085,0.047,0.400,0.005,0.348
1971,0.000,0.003,0.029,0.000,0.010,0.057,0.000,0.000,0.360,0.042,0.500,0.000,0.000
1972,0.000,0.008,0.021,0.000,0.058,0.134,0.000,0.000,0.000,0.090,0.514,0.006,0.169
1973,0.000,0.001,0.115,0.000,0.046,0.307,0.000,0.000,0.000,0.030,0.153,0.000,0.348
1974,0.000,0.000,0.037,0.000,0.049,0.112,0.000,0.153,0.000,0.020,0.072,0.000,0.558
1975,0.000,0.012,0.033,0.013,0.039,0.199,0.000,0.036,0.000,0.062,0.175,0.000,0.432
1976,0.000,0.008,0.004,0.000,0.029,0.187,0.065,0.047,0.212,0.046,0.082,0.011,0.309
1977,0.000,0.004,0.010,0.002,0.040,0.060,0.000,0.158,0.190,0.035,0.087,0.000,0.414
1978,0.002,0.000,0.014,0.000,0.015,0.018,0.000,0.335,0.122,0.022,0.081,0.002,0.390
1979,0.006,0.001,0.018,0.001,0.005,0.029,0.000,0.024,0.065,0.033,0.193,0.032,0.593
1980,0.003,0.021,0.012,0.000,0.027,0.021,0.000,0.033,0.354,0.000,0.000,0.025,0.505
1981,0.001,0.059,0.013,0.004,0.007,0.010,0.000,0.026,0.389,0.006,0.056,0.115,0.314
1982,0.000,0.079,0.044,0.009,0.035,0.021,0.000,0.040,0.163,0.019,0.011,0.055,0.524
1983,0.001,0.049,0.082,0.011,0.056,0.020,0.000,0.001,0.507,0.004,0.031,0.116,0.123
1984,0.002,0.042,0.023,0.000,0.033,0.013,0.000,0.000,0.404,0.014,0.049,0.098,0.320
1985,0.000,0.037,0.020,0.000,0.021,0.016,0.139,0.000,0.276,0.003,0.041,0.049,0.399
1986,0.000,0.047,0.007,0.000,0.051,0.000,0.000,0.000,0.481,0.025,0.079,0.279,0.032
1987,0.000,0.072,0.000,0.000,0.011,0.013,0.000,0.000,0.436,0.010,0.111,0.048,0.298
1988,0.002,0.107,0.051,0.007,0.031,0.064,0.000,0.000,0.432,0.000,0.000,0.203,0.102
1989,0.000,0.016,0.052,0.000,0.036,0.194,0.000,0.000,0.441,0.000,0.004,0.124,0.133
1990,0.000,0.185,0.062,0.000,0.016,0.057,0.000,0.000,0.453,0.000,0.013,0.176,0.039
1991,0.000,0.101,0.036,0.000,0.019,0.040,0.000,0.000,0.608,0.000,0.015,0.135,0.047
1992,0.004,0.073,0.144,0.000,0.040,0.067,0.000,0.000,0.327,0.000,0.044,0.158,0.144
1993,0.004,0.007,0.002,0.000,0.000,0.041,0.000,0.000,0.096,0.000,0.011,0.225,0.614
1994,0.000,0.013,0.001,0.000,0.004,0.005,0.000,0.000,0.400,0.000,0.045,0.182,0.348
1995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.000,0.011,0.023,0.719
1996,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.125,0.000,0.000,0.095,0.764
1997,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.509,0.000,0.000,0.115,0.371
1998,0.000,0.007,0.003,0.000,0.012,0.000,0.000,0.000,0.307,0.000,0.000,0.185,0.486
1999,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.473,0.000,0.000,0.093,0.429
2000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.670,0.000,0.000,0.132,0.147
